t,T,TT
243100,26.221387915696408,24.70751455905339
243110,26.221197522087447,24.70749534035261
243120,26.22100715000645,24.707476123462893
243130,26.220816799450933,24.707456908384053
243140,26.22062647041842,24.707437695115924
243150,26.22043616290643,24.707418483658333
243160,26.220245876912486,24.707399274011106
243170,26.22005561243411,24.70738006617407
243180,26.21986536946882,24.707360860147052
243190,26.219675148014144,24.707341655929877
243200,26.2194849480676,24.707322453522377
243210,26.21929476962671,24.707303252924376
243220,26.219104612688998,24.707284054135698
243230,26.21891447725199,24.707264857156176
243240,26.218724363313203,24.707245661985635
243250,26.218534270870165,24.707226468623897
243260,26.218344199920402,24.707207277070797
243270,26.218154150461434,24.70718808732616
243280,26.217964122490788,24.707168899389806
243290,26.217774116005987,24.707149713261572
243300,26.21758413100456,24.70713052894128
243310,26.21739416748403,24.70711134642876
243320,26.217204225441925,24.70709216572384
243330,26.217014304875768,24.70707298682634
243340,26.216824405783086,24.707053809736095
243350,26.216634528161407,24.707034634452928
243360,26.216444672008254,24.70701546097667
243370,26.21625483732116,24.706996289307142
243380,26.21606502409765,24.70697711944418
243390,26.21587523233525,24.706957951387604
243400,26.21568546203149,24.706938785137243
243410,26.215495713183902,24.70691962069293
243420,26.215305985790007,24.706900458054484
243430,26.21511627984734,24.706881297221738
243440,26.21492659535343,24.706862138194516
243450,26.2147369323058,24.70684298097265
243460,26.214547290701987,24.70682382555596
243470,26.214357670539517,24.706804671944283
243480,26.214168071815923,24.706785520137437
243490,26.213978494528735,24.70676637013526
243500,26.213788938675485,24.70674722193757
243510,26.213599404253703,24.7067280755442
243520,26.21340989126092,24.70670893095497
243530,26.213220399694666,24.70668978816972
243540,26.213030929552477,24.706670647188268
243550,26.212841480831884,24.706651508010445
243560,26.21265205353042,24.70663237063608
243570,26.21246264764562,24.706613235064996
243580,26.212273263175014,24.70659410129702
243590,26.212083900116138,24.706574969331992
243600,26.211894558466522,24.706555839169727
243610,26.211705238223704,24.706536710810056
243620,26.21151593938522,24.706517584252808
243630,26.211326661948597,24.70649845949781
243640,26.211137405911376,24.706479336544888
243650,26.21094817127109,24.70646021539387
243660,26.21075895802528,24.70644109604459
243670,26.210569766171478,24.70642197849687
243680,26.210380595707218,24.70640286275054
243690,26.210191446630038,24.706383748805425
243700,26.210002318937477,24.706364636661355
243710,26.20981321262707,24.706345526318156
243720,26.209624127696355,24.70632641777566
243730,26.20943506414287,24.706307311033694
243740,26.20924602196415,24.70628820609208
243750,26.20905700115774,24.706269102950653
243760,26.208868001721168,24.706250001609238
243770,26.20867902365198,24.706230902067663
243780,26.208490066947718,24.706211804325758
243790,26.208301131605914,24.706192708383345
243800,26.208112217624112,24.70617361424026
243810,26.20792332499985,24.706154521896327
243820,26.20773445373067,24.706135431351374
243830,26.20754560381411,24.706116342605227
243840,26.207356775247714,24.70609725565772
243850,26.207167968029022,24.706078170508675
243860,26.206979182155575,24.706059087157925
243870,26.206790417624912,24.706040005605296
243880,26.20660167443458,24.706020925850616
243890,26.206412952582117,24.706001847893713
243900,26.206224252065066,24.705982771734412
243910,26.20603557288097,24.70596369737255
243920,26.205846915027376,24.705944624807948
243930,26.205658278501822,24.705925554040434
243940,26.205469663301855,24.705906485069843
243950,26.20528106942502,24.705887417895994
243960,26.205092496868858,24.705868352518724
243970,26.204903945630914,24.705849288937856
243980,26.204715415708733,24.705830227153218
243990,26.20452690709986,24.70581116716464
244000,26.204338419801847,24.705792108971952
244010,26.20414995381223,24.70577305257498
244020,26.20396150912856,24.705753997973552
244030,26.203773085748384,24.7057349451675
244040,26.203584683669245,24.70571589415665
244050,26.20339630288869,24.705696844940828
244060,26.20320794340427,24.70567779751987
244070,26.203019605213527,24.705658751893594
244080,26.202831288314012,24.705639708061835
244090,26.202642992703275,24.705620666024423
244100,26.20245471837886,24.70560162578118
244110,26.20226646533832,24.70558258733194
244120,26.202078233579197,24.70556355067653
244130,26.201890023099047,24.70554451581478
244140,26.201701833895417,24.705525482746516
244150,26.201513665965855,24.705506451471567
244160,26.201325519307915,24.705487421989766
244170,26.201137393919144,24.705468394300933
244180,26.20094928979709,24.705449368404903
244190,26.200761206939312,24.705430344301504
244200,26.200573145343355,24.705411321990567
244210,26.20038510500677,24.705392301471914
244220,26.200197085927112,24.70537328274538
244230,26.200009088101933,24.70535426581079
244240,26.19982111152878,24.705335250667975
244250,26.199633156205213,24.70531623731676
244260,26.19944522212878,24.70529722575698
244270,26.199257309297035,24.705278215988457
244280,26.19906941770753,24.705259208011025
244290,26.19888154735782,24.705240201824513
244300,26.198693698245464,24.705221197428745
244310,26.19850587036801,24.705202194823556
244320,26.19831806372301,24.705183194008768
244330,26.198130278308028,24.705164194984217
244340,26.197942514120612,24.705145197749726
244350,26.19775477115832,24.705126202305127
244360,26.19756704941871,24.705107208650247
244370,26.197379348899332,24.70508821678492
244380,26.197191669597746,24.705069226708968
244390,26.19700401151151,24.705050238422224
244400,26.19681637463818,24.70503125192452
244410,26.196628758975308,24.70501226721568
244420,26.196441164520458,24.70499328429553
244430,26.196253591271184,24.704974303163908
244440,26.196066039225045,24.704955323820638
244450,26.1958785083796,24.704936346265548
244460,26.19569099873241,24.70491737049847
244470,26.19550351028103,24.704898396519233
244480,26.19531604302302,24.704879424327665
244490,26.19512859695594,24.704860453923594
244500,26.19494117207735,24.70484148530685
244510,26.194753768384807,24.704822518477265
244520,26.194566385875873,24.704803553434665
244530,26.194379024548113,24.704784590178882
244540,26.194191684399083,24.70476562870974
244550,26.194004365426345,24.704746669027074
244560,26.19381706762746,24.70472771113071
244570,26.19362979099999,24.70470875502048
244580,26.193442535541497,24.70468980069621
244590,26.193255301249543,24.704670848157733
244600,26.19306808812169,24.704651897404876
244610,26.192880896155504,24.704632948437467
244620,26.192693725348548,24.704614001255337
244630,26.19250657569838,24.704595055858316
244640,26.19231944720257,24.704576112246237
244650,26.19213233985868,24.70455717041892
244660,26.191945253664272,24.7045382303762
244670,26.191758188616912,24.704519292117908
244680,26.191571144714164,24.704500355643873
244690,26.191384121953593,24.704481420953922
244700,26.191197120332767,24.704462488047888
244710,26.19101013984925,24.704443556925593
244720,26.190823180500608,24.704424627586878
244730,26.19063624228441,24.70440570003156
244740,26.190449325198216,24.70438677425948
244750,26.1902624292396,24.70436785027046
244760,26.190075554406125,24.704348928064334
244770,26.18988870069536,24.70433000764093
244780,26.18970186810487,24.70431108900008
244790,26.189515056632224,24.704292172141606
244800,26.189328266274995,24.704273257065346
244810,26.189141497030747,24.704254343771126
244820,26.18895474889705,24.704235432258777
244830,26.18876802187147,24.704216522528125
244840,26.18858131595158,24.704197614579005
244850,26.18839463113495,24.704178708411245
244860,26.18820796741915,24.704159804024673
244870,26.188021324801745,24.704140901419123
244880,26.187834703280313,24.70412200059442
244890,26.18764810285242,24.704103101550395
244900,26.18746152351564,24.70408420428688
244910,26.18727496526754,24.704065308803703
244920,26.187088428105696,24.704046415100695
244930,26.18690191202768,24.704027523177682
244940,26.18671541703106,24.7040086330345
244950,26.186528943113412,24.703989744670977
244960,26.18634249027231,24.70397085808694
244970,26.186156058505322,24.703951973282223
244980,26.185969647810026,24.703933090256655
244990,26.185783258183996,24.703914209010062
245000,26.1855968896248,24.703895329542277
245010,26.18541054213002,24.703876451853134
245020,26.185224215697225,24.703857575942454
245030,26.18503791032399,24.703838701810074
